ID,label
105410,TRAVEL
78695,TRAVEL
99892,SPORTS
186547,PARENTING
186316,FOOD & DRINK
186083,FOOD & DRINK
113224,WELLNESS
126989,MEDIA
164104,TRAVEL
6348,U.S. NEWS
49367,TASTE
24296,POLITICS
112334,ENTERTAINMENT
158866,WELLNESS
40886,ENTERTAINMENT
163359,HOME & LIVING
130422,WELLNESS
81451,POLITICS
58530,WELLNESS
143879,WELLNESS
112266,HEALTHY LIVING
180534,WEDDINGS
73001,GOOD NEWS
9484,ENTERTAINMENT
51085,POLITICS
128165,GREEN
125328,RELIGION
52726,ENTERTAINMENT
96996,CRIME
112689,SCIENCE
38281,WORLD NEWS
12701,ENTERTAINMENT
124784,SPORTS
83827,RELIGION
84380,CRIME
107815,WELLNESS
182695,HOME & LIVING
116367,CRIME
79381,TRAVEL
173399,COMEDY
64836,HEALTHY LIVING
189063,PARENTING
83725,COMEDY
108385,POLITICS
65786,POLITICS
9577,WOMEN
71115,POLITICS
40409,BLACK VOICES
97612,POLITICS
19262,MEDIA
136838,WEDDINGS
63341,WEIRD NEWS
86208,SPORTS
60070,IMPACT
124755,HEALTHY LIVING
177290,TRAVEL
1636,QUEER VOICES
138504,STYLE & BEAUTY
30257,POLITICS
147603,WEDDINGS
39508,ENTERTAINMENT
73624,POLITICS
86876,MONEY
101092,WELLNESS
5873,POLITICS
14740,QUEER VOICES
114983,MEDIA
179131,PARENTING
121173,POLITICS
52197,COMEDY
118112,ARTS
161066,STYLE & BEAUTY
84061,ENTERTAINMENT
61521,TRAVEL
182742,PARENTING
21082,COMEDY
126137,WELLNESS
143893,HOME & LIVING
3774,ENTERTAINMENT
134649,WELLNESS
122189,RELIGION
78931,WEIRD NEWS
110113,DIVORCE
196751,FOOD & DRINK
152035,WELLNESS
40790,WEIRD NEWS
112521,WELLNESS
88737,SCIENCE
129043,WELLNESS
120973,POLITICS
92554,COLLEGE
133255,PARENTING
100726,TECH
102241,ENTERTAINMENT
171799,MONEY
188321,WELLNESS
172914,SPORTS
149239,STYLE & BEAUTY
44626,CRIME
87345,POLITICS
64395,MEDIA
85794,MEDIA
180528,WELLNESS
59693,PARENTS
14980,POLITICS
154292,TRAVEL
167118,WELLNESS
8951,WORLD NEWS
173645,COMEDY
141110,BUSINESS
119455,WOMEN
185209,WEDDINGS
68774,PARENTS
121639,WELLNESS
417,ENTERTAINMENT
116677,RELIGION
167843,DIVORCE
90869,POLITICS
62387,ARTS & CULTURE
80946,ENTERTAINMENT
47646,ENTERTAINMENT
182193,MONEY
187491,STYLE & BEAUTY
65783,POLITICS
182434,DIVORCE
157208,STYLE & BEAUTY
76131,POLITICS
148640,HOME & LIVING
99609,IMPACT
46159,POLITICS
15186,POLITICS
130712,TRAVEL
53257,POLITICS
94519,BLACK VOICES
52503,ARTS & CULTURE
119163,GREEN
105271,QUEER VOICES
59595,LATINO VOICES
84044,COLLEGE
2029,WEIRD NEWS
168748,STYLE & BEAUTY
123696,POLITICS
172205,MONEY
55502,THE WORLDPOST
180123,WORLDPOST
64255,BLACK VOICES
175483,WELLNESS
114070,FIFTY
66497,HEALTHY LIVING
99125,POLITICS
34134,POLITICS
87820,ENTERTAINMENT
184319,STYLE & BEAUTY
160078,STYLE & BEAUTY
18675,POLITICS
88295,THE WORLDPOST
138817,PARENTING
79539,POLITICS
134739,WELLNESS
189812,WELLNESS
67587,WOMEN
125408,PARENTING
52410,BUSINESS
104962,QUEER VOICES
93520,POLITICS
125674,POLITICS
66469,QUEER VOICES
67726,ENTERTAINMENT
17158,QUEER VOICES
63371,POLITICS
116297,GREEN
184503,HOME & LIVING
44180,POLITICS
79081,PARENTING
176030,WELLNESS
61349,QUEER VOICES
105150,QUEER VOICES
83602,BUSINESS
90559,ENTERTAINMENT
68443,THE WORLDPOST
154527,ENTERTAINMENT
153621,PARENTING
64056,POLITICS
46716,ENTERTAINMENT
